gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,Input,Symbol,Feature Type
ENSMUSG00000009292.17,22.47302041,2.990036593,0.918915702,3.253874741,0.001138425,0.003983324,ENSMUSG00000009292,ENSMUSG00000009292,Trpm2,protein coding gene
ENSMUSG00000009406.13,33.80043881,2.099583904,0.584147281,3.594271468,0.000325301,0.001317656,ENSMUSG00000009406,ENSMUSG00000009406,Elk1,protein coding gene
ENSMUSG00000009418.15,304.7589021,2.916183129,0.268707614,10.8526256,1.93778E-27,1.74787E-25,ENSMUSG00000009418,ENSMUSG00000009418,Nav1,protein coding gene
ENSMUSG00000009569.14,209.2617653,2.257855584,0.28056059,8.047657662,8.43936E-16,2.14909E-14,ENSMUSG00000009569,ENSMUSG00000009569,Mrtfb,protein coding gene
ENSMUSG00000010051.15,16.96607326,2.939664713,0.886600969,3.315657003,0.00091428,0.003292165,ENSMUSG00000010051,ENSMUSG00000010051,Hyal1,protein coding gene
ENSMUSG00000010175.13,31.03377505,2.591541772,0.594595618,4.358494572,1.3096E-05,7.39748E-05,ENSMUSG00000010175,ENSMUSG00000010175,Prox1,protein coding gene
ENSMUSG00000010461.14,6.49440933,3.717727408,1.522974328,2.441096569,0.014642739,0.035961409,ENSMUSG00000010461,ENSMUSG00000010461,Eya4,protein coding gene
ENSMUSG00000011256.16,34.20432003,3.004365202,0.683518995,4.395437763,1.1055E-05,6.34282E-05,ENSMUSG00000011256,ENSMUSG00000011256,Adam19,protein coding gene
ENSMUSG00000011305.11,16.25438523,5.000019032,1.249842058,4.000520707,6.32033E-05,0.000305637,ENSMUSG00000011305,ENSMUSG00000011305,Plin5,protein coding gene
ENSMUSG00000012777.14,5.678137816,5.831792898,1.819912992,3.204435004,0.001353278,0.004621858,ENSMUSG00000012777,ENSMUSG00000012777,Acp4,protein coding gene
ENSMUSG00000012819.15,10.00131831,3.359131188,1.23509417,2.719736899,0.006533388,0.018113566,ENSMUSG00000012819,ENSMUSG00000012819,Cdh23,protein coding gene
