gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,Input,Symbol,Feature Type
ENSMUSG00000006575.14,58.90567659,-2.446270424,0.54323153,-4.503181953,6.69435E-06,4.03403E-05,ENSMUSG00000006575,ENSMUSG00000006575,Rundc3a,protein coding gene
ENSMUSG00000006715.11,8.58855285,-2.818272797,1.088687291,-2.588688984,0.009634207,0.025277255,ENSMUSG00000006715,ENSMUSG00000006715,Gmnn,protein coding gene
ENSMUSG00000006717.6,49.23329716,-2.810810494,0.532519257,-5.278326482,1.30369E-07,1.07831E-06,ENSMUSG00000006717,ENSMUSG00000006717,Acot13,protein coding gene
ENSMUSG00000006777.7,75.39467482,-2.167172572,0.449026284,-4.826382437,1.39035E-06,9.56943E-06,ENSMUSG00000006777,ENSMUSG00000006777,Krt23,protein coding gene
ENSMUSG00000006941.4,69.06268328,-2.628479773,0.475950101,-5.52259526,3.34029E-08,3.02568E-07,ENSMUSG00000006941,ENSMUSG00000006941,Eif1b,protein coding gene
ENSMUSG00000007656.13,211.3668623,-2.227358811,0.317723569,-7.010366962,2.37694E-12,3.9094E-11,ENSMUSG00000007656,ENSMUSG00000007656,Arpp19,protein coding gene
ENSMUSG00000007739.10,288.1064867,-2.021752205,0.240999814,-8.389019765,4.90212E-17,1.48695E-15,ENSMUSG00000007739,ENSMUSG00000007739,Cct4,protein coding gene
ENSMUSG00000007777.9,18.58050939,-2.087655265,0.698250642,-2.989836514,0.002791268,0.008667648,ENSMUSG00000007777,ENSMUSG00000007777,Trappc2b,protein coding gene
ENSMUSG00000007888.15,460.9903462,-3.123062738,0.359614099,-8.684483573,3.80467E-18,1.3472E-16,ENSMUSG00000007888,ENSMUSG00000007888,Crlf1,protein coding gene
ENSMUSG00000007892.7,7476.963648,-2.511047581,0.321519545,-7.809937588,5.72163E-15,1.32153E-13,ENSMUSG00000007892,ENSMUSG00000007892,Rplp1,protein coding gene
ENSMUSG00000008301.11,63.6618937,-2.481248925,0.426330848,-5.820007953,5.88448E-09,5.97089E-08,ENSMUSG00000008301,ENSMUSG00000008301,Phax,protein coding gene
ENSMUSG00000008333.12,30.30261646,-2.181053846,0.660674623,-3.301252646,0.000962542,0.003445288,ENSMUSG00000008333,ENSMUSG00000008333,Snrpb2,protein coding gene
ENSMUSG00000008475.13,256.8328129,-2.093148498,0.257016023,-8.144038928,3.82306E-16,1.03181E-14,ENSMUSG00000008475,ENSMUSG00000008475,Arpc5,protein coding gene
ENSMUSG00000008668.14,3414.038079,-3.198858336,0.260549809,-12.27733903,1.19877E-34,2.0752E-32,ENSMUSG00000008668,ENSMUSG00000008668,Rps18,protein coding gene
ENSMUSG00000008682.13,5676.333584,-2.753755578,0.22158079,-12.42777216,1.84711E-35,3.36763E-33,ENSMUSG00000008682,ENSMUSG00000008682,Rpl10,protein coding gene
ENSMUSG00000008683.16,1454.48166,-3.246967441,0.271003584,-11.98127122,4.4544E-33,6.41509E-31,ENSMUSG00000008683,ENSMUSG00000008683,Rps15a,protein coding gene
