gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,Input,Symbol,Feature Type
ENSMUSG00000033569.17,12.74821466,7.609419578,1.677511804,4.536134745,5.72946E-06,2.66202E-05,ENSMUSG00000033569,ENSMUSG00000033569,Adgrb3,protein coding gene
ENSMUSG00000067642.11,9.210720946,3.629647725,1.169597381,3.103330927,0.001913555,0.00514512,ENSMUSG00000067642,ENSMUSG00000067642,Adgrf3,protein coding gene
ENSMUSG00000037605.16,24.53295087,3.073708913,0.757299586,4.058775379,4.93307E-05,0.000190234,ENSMUSG00000037605,ENSMUSG00000037605,Adgrl3,protein coding gene
ENSMUSG00000069170.13,12.05548346,3.679353567,1.054638432,3.48873458,0.000485313,0.001503573,ENSMUSG00000069170,ENSMUSG00000069170,Adgrv1,protein coding gene
ENSMUSG00000051149.15,72.8108488,4.40097735,0.472793455,9.308456587,1.29703E-20,3.32329E-19,ENSMUSG00000051149,ENSMUSG00000051149,Adnp,protein coding gene
ENSMUSG00000033717.5,152.6732129,2.288953013,0.288142714,7.943817069,1.96053E-15,3.02582E-14,ENSMUSG00000033717,ENSMUSG00000033717,Adra2a,protein coding gene
ENSMUSG00000031189.12,47.63288993,3.771128874,0.526409288,7.16387222,7.84295E-13,9.21932E-12,ENSMUSG00000031189,ENSMUSG00000031189,Aff2,protein coding gene
ENSMUSG00000055013.14,1741.659948,2.451621051,0.142148304,17.2469244,1.18017E-66,6.18378E-64,ENSMUSG00000055013,ENSMUSG00000055013,Agap1,protein coding gene
ENSMUSG00000061298.14,9.02134255,4.649440938,1.521193329,3.056443156,0.002239799,0.005929513,ENSMUSG00000061298,ENSMUSG00000061298,Agbl4,protein coding gene
ENSMUSG00000054988.9,38.30023835,2.383139048,0.532199077,4.477909026,7.53777E-06,3.42253E-05,ENSMUSG00000054988,ENSMUSG00000054988,Agtr1b,protein coding gene
ENSMUSG00000037692.14,949.8261303,2.785403625,0.247122713,11.271338,1.81786E-29,1.01602E-27,ENSMUSG00000037692,ENSMUSG00000037692,Ahdc1,protein coding gene
ENSMUSG00000069833.12,5794.328513,2.059734382,0.267412371,7.702464834,1.33466E-14,1.88245E-13,ENSMUSG00000069833,ENSMUSG00000069833,Ahnak,protein coding gene
