gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,Input,Symbol,Feature Type
ENSMUSG00000020680.15,321.2960918,-2.80230218,0.232488161,-12.05352639,1.85826245288509E-33,1.40604053249165E-31,ENSMUSG00000020680,ENSMUSG00000020680,Taf15,protein coding gene
ENSMUSG00000020720.13,310.6250688,-2.470450699,0.2413064,-10.23781675,1.34231170027427E-24,5.04184783620941E-23,ENSMUSG00000020720,ENSMUSG00000020720,Psmd12,protein coding gene
ENSMUSG00000020738.16,199.8584463,-2.180471617,0.339392571,-6.424629767,1.32190851826619E-10,1.21251118749851E-09,ENSMUSG00000020738,ENSMUSG00000020738,Sumo2,protein coding gene
ENSMUSG00000020774.9,16.33728035,-2.158354534,0.866914214,-2.489697942,0.01278517,0.027258554,ENSMUSG00000020774,ENSMUSG00000020774,Aspa,protein coding gene
ENSMUSG00000020803.3,320.1958529,-2.099092319,0.230248864,-9.116624015,7.75009025010836E-20,1.82510271406765E-18,ENSMUSG00000020803,ENSMUSG00000020803,Txndc17,protein coding gene
ENSMUSG00000020949.8,82.95190172,-3.106585727,0.393363812,-7.897487338,2.8458190688619E-15,4.32527352170244E-14,ENSMUSG00000020949,ENSMUSG00000020949,Fkbp3,protein coding gene
ENSMUSG00000020988.8,104.9084962,-2.060588935,0.32732413,-6.295255216,3.06894500370008E-10,2.68343839518356E-09,ENSMUSG00000020988,ENSMUSG00000020988,L2hgdh,protein coding gene
ENSMUSG00000021022.8,107.8992258,-2.419265309,0.321603963,-7.522498434,5.37392614312298E-14,7.09270264695935E-13,ENSMUSG00000021022,ENSMUSG00000021022,Ppp2r3c,protein coding gene
ENSMUSG00000021037.6,341.8234418,-2.111164415,0.217637537,-9.700368989,3.00410223672924E-22,9.07247532847379E-21,ENSMUSG00000021037,ENSMUSG00000021037,Ahsa1,protein coding gene
ENSMUSG00000021072.12,287.8323464,-2.660597929,0.275151861,-9.669561804,4.0611320085513E-22,1.2090520705572E-20,ENSMUSG00000021072,ENSMUSG00000021072,Tmx1,protein coding gene
